Model,Accuracy,Precision,Recall,F1 Score,ROC-AUC
Logistic Regression,0.9912,1.0,0.9762,0.988,0.9983
Random Forest,0.9737,1.0,0.9286,0.963,0.9954
XGBoost,0.9737,1.0,0.9286,0.963,0.9947
SVM,0.9737,1.0,0.9286,0.963,0.9934
